sub,hemisphere,acquisition,struct_ref_vol,wm_surf,gm_surf
R2027,B,pire,./WHS_SD_rat_atlas_v4_gm.nii.gz,,
R2067,B,pire,./WHS_SD_rat_atlas_v4_gm.nii.gz,,
